Hour,Temperature-motor,Current-motor,Watts,RPM
7:33:57,24.93,0.07,8.29,0
7:34:58,24.93,0.08,10.16,0
7:35:58,24.44,0.34,40.21,1770
7:36:58,26.39,0.34,40.21,1770
7:37:58,28.84,0.33,39.78,1770
7:38:58,30.79,0.33,39.78,1770
7:39:58,33.24,0.33,39.78,1770
7:40:58,35.19,0.34,40.21,1770
7:41:58,36.66,0.34,40.63,1770
7:42:58,38.12,0.33,39.78,1770
7:43:58,40.57,0.33,39.78,1770
7:44:58,42.03,0.33,39.34,1800
7:45:59,43.99,0.33,39.34,1770
7:46:59,43.99,0.33,39.78,1770
7:47:59,45.45,0.34,40.21,1770
7:48:59,47.41,0.33,39.78,1770
7:49:59,47.9,0.34,40.21,1800
7:50:59,48.39,0.33,39.78,1770
7:51:59,49.36,0.34,40.21,1770
7:52:59,50.34,0.33,39.34,1770
7:53:59,50.83,0.34,40.21,1800
7:54:59,52.3,0.33,39.78,1770
7:55:59,50.83,0.32,38.9,1770
7:57:00,50.83,0.34,40.21,1770
7:58:00,51.81,0.34,40.21,1770
7:59:00,51.81,0.34,40.21,1770
8:00:00,53.76,0.34,40.63,1770
8:01:00,53.27,0.33,39.78,1770
8:02:00,54.25,0.33,39.34,1770
8:03:00,54.74,0.34,40.21,1770
8:04:00,55.23,0.34,40.21,1800
8:05:00,54.74,0.33,39.78,1770
8:06:00,56.21,0.34,40.63,1800
8:07:00,56.7,0.32,38.9,1770
8:08:01,56.7,0.34,40.21,1770
8:09:01,56.7,0.34,40.21,1770
8:10:01,56.7,0.34,40.63,1770
8:11:01,58.16,0.33,39.78,1800
8:12:01,58.16,0.34,40.21,1770
8:13:01,58.16,0.33,39.78,1770
8:14:01,58.16,0.33,39.78,1770
8:15:01,58.16,0.33,39.78,1770
8:16:01,57.67,0.34,40.63,1770
8:17:01,58.65,0.33,39.78,1770
8:18:01,59.14,0.34,40.21,1770
8:19:01,58.16,0.34,40.21,1770
8:20:02,59.63,0.33,39.78,1770
8:21:02,58.65,0.33,39.78,1770
8:22:02,58.16,0.33,39.78,1770
8:23:02,59.14,0.33,39.78,1770
8:24:02,59.14,0.33,39.78,1770
8:25:02,59.14,0.33,39.78,1770
8:26:02,59.63,0.33,39.78,1800
8:27:02,58.65,0.34,40.21,1770
8:28:02,60.12,0.33,39.78,1800
8:29:02,59.14,0.34,40.21,1770
8:30:02,58.65,0.33,39.78,1770
8:31:03,59.14,0.33,39.78,1800
8:32:03,60.12,0.34,40.21,1770
8:33:03,59.63,0.33,39.78,1770
8:34:03,60.12,0.33,39.78,1770
8:35:03,57.18,0.33,39.34,1770
8:36:03,57.18,0.33,39.78,1770
8:37:03,57.18,0.33,39.78,1770
8:38:03,57.67,0.33,39.34,1800
8:39:03,58.65,0.33,39.78,1770
8:40:03,58.16,0.33,39.78,1770
8:41:03,57.18,0.33,39.78,1770
8:42:04,57.67,0.33,39.78,1770
8:43:04,58.16,0.33,39.78,1770
8:44:04,58.16,0.33,39.78,1770
8:45:04,56.7,0.33,39.78,1800
8:46:04,56.7,0.33,39.78,1770
